"filename", "language", "JavaScript", "JSON", "Markdown", "CSS", "HTML", "XML", "comment", "blank", "total"
"d:\Dev\projects\Assistant\app.js", "JavaScript", 51, 0, 0, 0, 0, 0, 10, 18, 79
"d:\Dev\projects\Assistant\config.js", "JavaScript", 66, 0, 0, 0, 0, 0, 61, 16, 143
"d:\Dev\projects\Assistant\nsis-package.json", "JSON", 0, 35, 0, 0, 0, 0, 50, 0, 85
"d:\Dev\projects\Assistant\odl-package-lock.json", "JSON", 0, 6284, 0, 0, 0, 0, 0, 1, 6285
"d:\Dev\projects\Assistant\package-lock.json", "JSON", 0, 9044, 0, 0, 0, 0, 0, 1, 9045
"d:\Dev\projects\Assistant\package.json", "JSON", 0, 35, 0, 0, 0, 0, 54, 0, 89
"d:\Dev\projects\Assistant\plugins\device.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 7, 96
"d:\Dev\projects\Assistant\plugins\explore.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 10, 66
"d:\Dev\projects\Assistant\plugins\index.js", "JavaScript", 11, 0, 0, 0, 0, 0, 4, 5, 20
"d:\Dev\projects\Assistant\plugins\music.js", "JavaScript", 70, 0, 0, 0, 0, 0, 17, 27, 114
"d:\Dev\projects\Assistant\plugins\tool.js", "JavaScript", 52, 0, 0, 0, 0, 0, 1, 9, 62
"d:\Dev\projects\Assistant\portable-package.json", "JSON", 0, 35, 0, 0, 0, 0, 37, 0, 72
"d:\Dev\projects\Assistant\readme.md", "Markdown", 0, 0, 56, 0, 0, 0, 0, 10, 66
"d:\Dev\projects\Assistant\resource\css\main.css", "CSS", 0, 0, 0, 377, 0, 0, 9, 79, 465
"d:\Dev\projects\Assistant\resource\css\systemInfo.css", "CSS", 0, 0, 0, 13, 0, 0, 1, 1, 15
"d:\Dev\projects\Assistant\resource\html\floor.html", "HTML", 0, 0, 0, 0, 138, 0, 0, 22, 160
"d:\Dev\projects\Assistant\resource\html\main.html", "HTML", 0, 0, 0, 0, 187, 0, 9, 21, 217
"d:\Dev\projects\Assistant\resource\html\systemInfo.html", "HTML", 0, 0, 0, 0, 177, 0, 0, 8, 185
"d:\Dev\projects\Assistant\resource\html\wallpaper.html", "HTML", 0, 0, 0, 0, 51, 0, 1, 9, 61
"d:\Dev\projects\Assistant\resource\js\MenuPlugin.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 11, 56
"d:\Dev\projects\Assistant\resource\js\clock.js", "JavaScript", 280, 0, 0, 0, 0, 0, 46, 25, 351
"d:\Dev\projects\Assistant\resource\js\device.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Dev\projects\Assistant\resource\js\es-module-shims.js", "JavaScript", 728, 0, 0, 0, 0, 0, 72, 99, 899
